county,auction_source,item_id,parcel_id,property_type,address,city,zip,opening_bid,assessed_value,assessed_estimated,default_date,has_situs_address,source_status,opening_bin,historical_sold_rate,historical_bin_samples,competition_multiplier,market_factor,estimated_market_value,estimated_winning_bid,buyer_premium,estimated_transfer_tax,estimated_recording_fee,estimated_total_cost,gross_upside,estimated_roi_pct,default_age_years,risk_penalty,confidence_score,liquidity_factor,hidden_gem_score,recommended_max_bid,risk_flags,recommended_property,rank
San Diego,San Diego 2026,0089,1882232200,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11500.0,83270.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,83270.0,33251.00235849057,1087.5501179245286,36.57610259433963,12.0,34387.12857900944,48882.87142099056,142.1545602700587,0.0,0.0,100.0,0.9,74.79272783434686,63913.04,,True,25
San Diego,San Diego 2026,0088,1882232100,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11500.0,83270.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,83270.0,33251.00235849057,1087.5501179245286,36.57610259433963,12.0,34387.12857900944,48882.87142099056,142.1545602700587,0.0,0.0,100.0,0.9,74.79272783434686,63913.04,,True,26
San Diego,San Diego 2026,0305,4510722200,Unimproved property,BUSH ST SAN DIEGO CA,San Diego,92103,16000.0,113781.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,113781.0,46262.2641509434,1513.1132075471703,50.888490566037746,12.0,47838.26584905661,65942.73415094339,137.8451601046985,0.0,0.0,100.0,0.9,74.28846251515793,87349.25,,True,27
San Diego,San Diego 2026,0452,6520601100,Unimproved property,HIGHWAY 94 POTRERO CA 91963,Potrero,91963,6400.0,45510.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,45510.0,18504.90566037736,605.245283018868,20.3553962264151,12.0,19142.506339622643,26367.493660377357,137.74316274248724,0.0,0.0,100.0,0.9,74.27652727349127,34931.02,,True,28
San Diego,San Diego 2026,0275,3991601200,Unimproved property,SILVERBROOK DR EL CAJON CA 92019-1494,El Cajon,92019,6200.0,40185.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,40185.0,17926.62735849057,586.3313679245284,19.719290094339627,12.0,18544.67801650944,21640.32198349056,116.69289682045286,0.0,0.0,100.0,0.9,71.23621013866372,30868.61,,True,29
San Diego,San Diego 2026,0276,3993802300,Unimproved property,147 HARBISON CANYON RD EL CAJON CA 92019-1520,El Cajon,92019,8200.0,51627.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,51627.0,23709.410377358494,775.4705188679247,26.080351415094345,12.0,24522.961247641513,27104.038752358487,110.52514612184208,0.0,0.0,100.0,0.9,71.09160563422826,39672.34,,True,30
San Diego,San Diego 2026,0224,2952540900,Unimproved property,LAST DOLLAR TRL JULIAN CA 92036,Julian,92036,5000.0,32829.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,32829.0,14456.957547169814,472.8478773584907,15.902653301886795,12.0,14957.70807783019,17871.29192216981,119.47881205582583,0.0,0.0,100.0,0.9,70.96944036380322,25212.82,,True,31
San Diego,San Diego 2026,0120,2121920100,Unimproved property,CARLSBAD CA,Carlsbad,92011,14900.0,88548.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,88548.0,43081.73349056605,1409.0866745283024,47.389906839622654,12.0,44550.21007193397,43997.78992806603,98.7600055241581,0.0,0.0,100.0,0.9,69.71490536246365,68091.9,,True,32
San Diego,San Diego 2026,0090,1882232300,Unimproved property,29348 MACTAN RD VALLEY CENTER CA 92082-7611,Valley Center,92082,14400.0,83270.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,83270.0,41636.03773584906,1361.801886792453,45.79964150943397,12.0,43055.639264150945,40214.360735849055,93.40091431259367,0.0,0.0,100.0,0.9,69.0878102363056,64050.99,,True,33
San Diego,San Diego 2026,0461,6661300800,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,10300.0,56889.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,56889.0,29781.332547169815,974.0666273584908,32.7594658018868,12.0,30800.15864033019,26088.84135966981,84.70359410911827,0.0,0.0,100.0,0.9,68.07009157936875,43777.19,,True,34
San Diego,San Diego 2026,0099,1980932100,Unimproved property,BORREGO SPRINGS RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,2400.0,9100.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,9100.0,3923.076923076923,76.15384615384615,4.315384615384615,12.0,4015.5461538461536,5084.453846153847,126.6192356246205,0.0,8.0,92.0,0.9,66.47151415078653,7028.83,low-historical-sellthrough-bin,False,35
San Diego,San Diego 2026,0098,1980932000,Unimproved property,BORREGO SPRINGS RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,2400.0,9100.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,9100.0,3923.076923076923,76.15384615384615,4.315384615384615,12.0,4015.5461538461536,5084.453846153847,126.6192356246205,0.0,8.0,92.0,0.9,66.47151415078653,7028.83,low-historical-sellthrough-bin,False,36
San Diego,San Diego 2026,0295,4303002000,Unimproved property,JULY ST SAN DIEGO CA 92110,San Diego,92110,2600.0,9479.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,9479.0,4250.0,82.5,4.675000000000001,12.0,4349.175,5129.825,117.94938120448131,0.0,8.0,92.0,0.9,65.4845242299097,7326.8,low-historical-sellthrough-bin,False,37
San Diego,San Diego 2026,0217,2931220400,Unimproved property,MILE HI RD JULIAN CA,Julian,92036,2000.0,7434.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,7434.0,3269.230769230769,63.46153846153845,3.5961538461538463,12.0,3348.2884615384614,4085.7115384615386,122.02388131709083,0.0,8.0,92.0,0.9,65.25648383577767,5741.79,low-historical-sellthrough-bin,False,38
San Diego,San Diego 2026,0212,2930931600,Unimproved property,MILE HIGH RD JULIAN CA,Julian,92036,1400.0,5202.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,5202.0,2288.4615384615386,44.423076923076934,2.5173076923076927,12.0,2347.4019230769236,2854.5980769230764,121.60670266391071,0.0,16.0,84.0,0.9,62.6572492105676,4014.46,low-historical-sellthrough-bin;very-low-opening-bid,False,39
San Diego,San Diego 2026,0215,2931142400,Unimproved property,TWIN OAKS JULIAN CA 92036,Julian,92036,1900.0,5239.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,5239.0,3105.7692307692305,60.288461538461526,3.416346153846154,12.0,3181.474038461538,2057.525961538462,64.67209653967247,0.0,8.0,92.0,0.9,56.42116788256031,4066.41,low-historical-sellthrough-bin,False,40
Riverside,Riverside TC-223 2026,966,922043023,Likely Improved,28690 FRONT ST TEMECULA 92590,Front St Temecula,92590,1008351.0,2218372.2,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,2218372.2,2087749.8664054053,0.0,2296.524853045946,20.0,2090066.3912584514,128305.8087415488,6.138838903786903,5.66,20.0,80.0,0.9,55.276821091501354,1772727.76,value-estimated-no-assessor,False,41
Riverside,Riverside TC-223 2026,961,922043004,Likely Improved,41956 3RD ST TEMECULA 92590,St Temecula,92590,934967.0,2056927.4000000001,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,2056927.4000000001,1935811.2694324325,0.0,2129.392396375676,20.0,1937960.6618288083,118966.73817119189,6.138759187140865,5.66,20.0,80.0,0.9,55.27681176344214,1643713.83,value-estimated-no-assessor,False,42
Riverside,Riverside TC-223 2026,967,922043024,Likely Improved,28690 FRONT ST TEMECULA 92590,Front St Temecula,92590,700180.0,1540396.0000000002,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,1540396.0000000002,1449694.3043243242,0.0,1594.6637347567569,20.0,1451308.968059081,89087.03194091935,6.138391886330074,5.66,20.0,80.0,0.9,55.276768783664565,1230942.76,value-estimated-no-assessor,False,43
Riverside,Riverside TC-223 2026,959,922043002,Likely Improved,41934 3RD ST TEMECULA 92590,St Temecula,92590,625434.0,1375954.8,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,1375954.8,1294935.7415675675,0.0,1424.4293157243244,20.0,1296380.1708832919,79574.62911670818,6.138217083534208,5.66,20.0,80.0,0.9,55.27674832908057,1099534.35,value-estimated-no-assessor,False,44
Riverside,Riverside TC-223 2026,968,922043025,Likely Improved,28696 FRONT ST TEMECULA 92590,Front St Temecula,92590,430884.0,947944.8,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,947944.8,892127.8537297297,0.0,981.3406391027027,20.0,893129.1943688324,54815.60563116765,6.137477755377308,5.66,20.0,80.0,0.9,55.276661816448936,757502.59,value-estimated-no-assessor,False,45
Riverside,Riverside TC-223 2026,59,274240021,Likely Improved,17388 MARIPOSA AVE RIVERSIDE 92504,Mariposa Ave Riverside,92504,163548.0,359805.60000000003,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,359805.60000000003,338619.50367567566,0.0,372.4814540432433,20.0,339011.9851297189,20793.614870281133,6.13359284696814,5.66,20.0,80.0,0.9,54.575458317314606,287508.22,value-estimated-no-assessor,False,46
San Diego,San Diego 2026,0100,1980932200,Unimproved property,FRYING PAN RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,2000.0,5056.0,False,,True,ACTIVE,1k-5k,0.22517482517482518,161,1.6346153846153846,1.0,5056.0,3269.230769230769,63.46153846153845,3.5961538461538463,12.0,3348.2884615384614,1707.7115384615386,51.00252138003918,0.0,8.0,92.0,0.9,54.244661568799465,3931.88,low-historical-sellthrough-bin,False,47
Riverside,Riverside TC-223 2026,38,243540001,Likely Improved,585 PITCAIRN ST RIVERSIDE 92506,Pitcairn St Riverside,92506,146838.0,323043.60000000003,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,323043.60000000003,304022.1261081081,0.0,334.42433871891893,20.0,304376.550446827,18667.049553173012,6.132880317412641,5.66,20.0,80.0,0.9,54.24118759305916,258130.94,value-estimated-no-assessor,False,48
San Diego,San Diego 2026,0111,1991400200,Unimproved property,DI GIORGIO RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,5400.0,19355.0,False,,True,ACTIVE,5k-20k,1.0,14,2.8913915094339626,1.0,19355.0,15613.514150943398,510.6757075471699,17.174865566037738,12.0,16153.364724056606,3201.635275943394,19.820237644825276,0.0,0.0,100.0,0.9,53.98197533035437,14976.69,,False,49
Riverside,Riverside TC-223 2026,74,297230031,Likely Improved,14600 INNOVATION DR RIVERSIDE 92518,Innovation Dr Riverside,92518,4454705.0,9800351.0,True,2018-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,9800351.0,9223286.106351351,0.0,10145.614716986487,20.0,9233451.721068338,566899.2789316624,6.139624661037059,7.67,28.0,72.0,0.9,53.83691303704257,7831645.99,value-estimated-no-assessor;long-default-age,False,50
Riverside,Riverside TC-223 2026,676,639272015,Likely Improved,66700 5TH ST DESERT HOT SPRINGS 92240,St Desert Hot Springs,92240,1167455.0,2568401.0,True,2018-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,2568401.0,2417168.248243243,0.0,2658.8850730675676,20.0,2419847.1333163106,148553.8666836894,6.138977319616957,7.67,28.0,72.0,0.9,53.836837288257286,2052443.11,value-estimated-no-assessor;long-default-age,False,51
Riverside,Riverside TC-223 2026,974,936300014,Likely Improved,46366 SANDIA CREEK DR TEMECULA 92590,Sandia Creek Dr Temecula,92590,793708.0,1746157.6,True,2018-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,1746157.6,1643340.2366486485,0.0,1807.6742603135135,20.0,1645167.9109089621,100989.68909103796,6.138564241460358,7.67,28.0,72.0,0.9,53.83678895183448,1395371.17,value-estimated-no-assessor;long-default-age,False,52
Riverside,Riverside TC-223 2026,674,639272008,Likely Improved,66634 5TH ST DESERT HOT SPRINGS 92240,St Desert Hot Springs,92240,509756.0,1121463.2000000002,True,2018-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,1121463.2000000002,1055429.1322162163,0.0,1160.972045437838,20.0,1056610.1042616542,64853.09573834599,6.137845500130298,7.67,28.0,72.0,0.9,53.836704848174506,896164.78,value-estimated-no-assessor;long-default-age,False,53
Riverside,Riverside TC-223 2026,675,639272013,Likely Improved,66659 6TH ST DESERT HOT SPRINGS 92240,St Desert Hot Springs,92240,330755.0,727661.0000000001,True,2018-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,727661.0000000001,684814.8185135135,0.0,753.2963003648649,20.0,685588.1148138784,42072.88518612168,6.136758248433685,7.67,28.0,72.0,0.9,53.83657762320053,581469.18,value-estimated-no-assessor;long-default-age,False,54
Riverside,Riverside TC-223 2026,678,640041016,Likely Improved,72650 FRED WARING DR PALM DESERT 92260,Fred Waring Dr Palm Desert,92260,111551.0,245412.2,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,245412.2,230961.82316216215,0.0,254.0580054783784,20.0,231235.88116764053,14176.31883235948,6.130674340320906,5.66,20.0,80.0,0.9,53.38852061244186,196094.06,value-estimated-no-assessor,False,55
Riverside,Riverside TC-223 2026,406,413681016,Likely Improved,34954 STADLER ST BEAUMONT 92223,Stadler St Beaumont,92223,103252.0,227154.40000000002,True,2020-07-01,True,ACTIVE,100k+,0.8888888888888888,24,2.0704594594594594,1.0,227154.40000000002,213779.08010810812,0.0,235.15698811891895,20.0,214034.23709622704,13120.162903772987,6.129936538084947,5.66,20.0,80.0,0.9,53.14861552242597,181503.87,value-estimated-no-assessor,False,56
