rank,county,parcel_id,item_id,property_type,address,city,zip,opening_bid,recommended_max_bid,estimated_roi_pct,confidence_score,risk_flags,county_terms_url,county_map_url,due_diligence_steps
25,San Diego,1882232100,0088,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11500.0,63913.04,142.1545602700587,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
26,San Diego,1882232200,0089,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11500.0,63913.04,142.1545602700587,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
27,San Diego,4510722200,0305,Unimproved property,BUSH ST SAN DIEGO CA,San Diego,92103,16000.0,87349.25,137.8451601046985,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
28,San Diego,6520601100,0452,Unimproved property,HIGHWAY 94 POTRERO CA 91963,Potrero,91963,6400.0,34931.02,137.74316274248724,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
29,San Diego,3991601200,0275,Unimproved property,SILVERBROOK DR EL CAJON CA 92019-1494,El Cajon,92019,6200.0,30868.61,116.69289682045286,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
30,San Diego,3993802300,0276,Unimproved property,147 HARBISON CANYON RD EL CAJON CA 92019-1520,El Cajon,92019,8200.0,39672.34,110.52514612184208,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
31,San Diego,2952540900,0224,Unimproved property,LAST DOLLAR TRL JULIAN CA 92036,Julian,92036,5000.0,25212.82,119.47881205582583,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
32,San Diego,2121920100,0120,Unimproved property,CARLSBAD CA,Carlsbad,92011,14900.0,68091.9,98.7600055241581,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
33,San Diego,1882232300,0090,Unimproved property,29348 MACTAN RD VALLEY CENTER CA 92082-7611,Valley Center,92082,14400.0,64050.99,93.40091431259367,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
34,San Diego,6661300800,0461,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,10300.0,43777.19,84.70359410911827,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
